fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.74,0.274,0.202,2.5,0.055,5.0,37.3,0.99714,3.43,0.49,8.73,5
5.23,0.239,0.621,2.17,0.104,6.6,117.6,0.99819,3.25,0.9,12.38,8
9.22,0.381,0.462,3.51,0.051,18.0,83.9,0.99333,3.44,0.45,9.63,5
7.32,0.582,0.379,1.83,0.123,47.3,34.3,0.99783,3.31,0.47,10.7,5
10.54,0.642,0.342,1.6,0.057,9.1,39.1,0.99768,3.36,0.59,9.89,5
7.23,0.609,0.239,3.93,0.051,28.5,26.0,0.99418,3.35,0.63,9.18,5
7.21,0.742,0.65,4.85,0.057,14.9,31.2,0.99487,2.99,0.75,10.91,6
9.26,0.213,0.422,1.55,0.061,2.5,32.2,0.99785,2.85,0.54,10.67,6
9.65,0.744,0.128,2.01,0.094,9.3,42.8,0.99612,3.34,0.94,10.31,6
9.1,0.474,0.004,3.39,0.081,26.1,7.7,0.99881,3.18,0.54,10.26,5
5.39,0.662,0.378,2.04,0.048,25.2,30.6,0.99729,3.06,0.5,12.05,5
9.26,0.292,0.259,2.77,0.077,8.4,27.1,0.99681,3.19,0.48,12.77,7
6.52,0.531,0.351,3.01,0.047,21.8,90.8,0.99638,3.45,0.53,11.76,6
8.73,0.573,0.219,1.64,0.104,12.7,38.8,0.99726,3.36,0.48,10.72,6
5.84,0.738,0.371,2.56,0.113,17.5,46.6,0.99823,3.43,0.77,8.67,5
9.1,0.245,0.354,2.11,0.077,29.5,30.0,0.99771,3.38,0.5,11.09,7
6.92,0.536,0.154,1.22,0.088,8.6,39.0,0.9959,3.17,0.62,11.14,5
6.09,0.335,0.39,1.36,0.172,10.5,31.2,0.99905,3.43,0.49,11.25,7
9.56,0.621,0.175,1.58,0.073,29.8,43.2,0.99795,3.4,0.48,9.2,5
8.74,0.67,0.188,3.22,0.051,44.3,54.6,0.99743,3.29,0.84,11.33,6
7.25,0.762,0.169,3.26,0.101,24.1,14.8,0.99687,3.32,0.95,12.09,6
10.85,0.434,0.485,2.97,0.047,16.8,59.5,0.99765,3.43,0.88,9.37,6
7.55,0.697,0.217,2.58,0.071,24.0,20.2,0.99322,3.2,0.44,11.15,6
8.38,0.775,0.531,2.55,0.06,9.3,120.1,0.99716,3.47,0.46,9.55,3
8.79,0.234,0.609,2.4,0.057,14.4,42.6,0.99982,3.39,1.05,10.31,6
7.24,0.64,0.13,2.54,0.07,4.1,46.2,0.99712,3.31,0.6,9.4,5
9.14,0.703,0.468,2.62,0.117,9.4,47.4,0.99686,3.54,0.45,10.04,6
7.39,0.483,0.205,1.13,0.128,18.3,40.9,0.99557,3.12,0.84,10.05,6
7.6,0.312,0.105,1.48,0.118,15.8,24.2,0.99764,3.24,0.65,10.86,5
10.69,0.7,0.158,1.33,0.091,1.8,46.3,0.99633,3.21,0.74,11.37,5
6.51,0.314,0.191,3.48,0.07,11.7,44.6,0.99919,3.36,0.36,11.72,6
11.12,0.498,0.516,4.46,0.027,15.6,22.2,0.99506,3.49,0.59,9.72,6
12.76,0.523,0.3,0.9,0.092,16.0,14.9,0.99584,3.16,0.81,10.81,6
7.61,0.659,0.514,4.28,0.028,4.9,69.9,0.99556,3.81,0.54,9.24,4
4.95,0.417,0.364,2.2,0.033,22.1,30.5,1.00019,3.21,0.87,10.3,7
7.78,0.407,0.211,3.34,0.073,40.6,35.7,0.99634,3.36,0.46,10.47,6
7.82,0.548,0.196,2.66,0.088,23.8,44.8,0.99566,3.31,0.62,9.43,5
7.99,0.711,0.377,4.05,0.064,14.4,23.7,0.99273,3.32,0.96,11.02,6
6.38,0.942,0.426,2.33,0.156,35.1,48.9,0.99497,3.19,0.48,10.25,5
9.33,0.259,0.459,1.15,0.096,9.3,36.8,0.9977,3.47,0.68,10.59,6
9.23,0.587,0.22,2.02,0.07,20.3,39.1,0.9977,3.18,0.74,11.73,6
5.72,0.334,0.303,2.67,0.146,13.4,78.4,0.99546,3.04,0.65,9.96,5
9.54,0.713,0.381,1.92,0.158,35.3,43.7,0.99557,3.14,0.6,11.33,6
11.89,0.361,0.197,2.85,0.098,6.9,34.5,1.00023,3.53,0.51,11.96,5
8.62,0.409,0.054,2.06,0.055,6.8,18.9,1.00182,3.5,0.67,11.9,7
7.73,0.424,0.117,1.62,0.061,30.2,47.3,0.99888,3.01,0.62,10.22,6
8.07,0.516,0.224,1.3,0.041,19.4,68.2,0.99966,3.43,0.45,9.38,5
9.39,0.588,0.396,1.77,0.077,31.8,34.9,1.00007,3.01,0.84,9.66,6
5.31,0.617,0.509,2.32,0.049,7.4,67.8,1.00091,3.31,0.51,8.72,5
8.61,0.529,0.012,0.9,0.067,8.4,47.7,0.99613,3.13,0.45,11.15,5
7.64,0.291,0.157,1.49,0.088,17.3,41.5,0.99503,3.44,0.55,11.22,5
11.54,0.661,0.202,0.9,0.032,4.2,51.4,1.00018,3.39,0.51,10.55,4
8.02,0.52,0.421,1.6,0.044,16.5,15.4,0.99487,3.46,0.6,8.95,5
11.22,0.739,0.17,3.63,0.062,10.4,30.9,0.99475,3.27,0.47,10.03,4
6.4,0.403,0.188,1.24,0.076,13.3,31.7,0.99479,3.28,0.71,11.9,7
9.34,0.242,0.002,2.9,0.063,22.0,35.9,0.99645,3.09,0.9,11.07,5
8.88,0.524,0.362,7.63,0.069,22.7,108.5,0.99293,3.16,0.65,11.26,6
6.81,0.763,0.239,4.07,0.057,39.3,42.4,0.99398,3.45,0.44,13.96,7
8.63,0.559,0.146,2.25,0.041,27.4,13.6,0.99552,3.37,0.51,10.77,6
10.43,0.494,0.221,3.12,0.061,2.6,26.0,0.99443,3.33,0.67,9.24,5
7.76,0.373,0.484,1.14,0.071,7.3,39.1,0.99872,3.5,0.39,10.75,6
5.38,0.846,0.079,1.04,0.068,7.8,43.6,0.99671,3.11,0.47,10.44,5
8.29,0.345,0.11,2.14,0.082,25.7,6.0,0.9978,3.42,0.42,10.24,7
6.75,0.399,0.508,2.53,0.094,36.0,54.2,0.99759,3.13,0.66,10.25,6
7.72,0.633,0.284,3.46,0.106,5.4,55.7,0.99631,3.53,1.09,9.58,6
8.18,0.196,0.397,1.64,0.059,26.1,18.3,0.99858,3.39,0.47,10.82,8
5.35,0.759,0.346,2.31,0.038,14.4,67.0,0.99756,3.45,0.78,11.91,6
5.51,0.642,0.263,2.27,0.138,13.0,34.7,0.9961,3.2,0.55,12.27,7
9.16,0.692,0.204,2.0,0.093,9.2,21.0,0.9935,3.64,0.46,12.24,6
7.41,0.63,0.428,2.05,0.051,11.8,17.3,0.99769,3.61,0.94,9.4,6
9.69,0.501,0.491,1.44,0.088,16.5,53.5,0.9943,3.37,1.09,10.4,6
8.79,0.339,0.476,2.4,0.126,10.0,27.2,0.99742,3.49,0.71,10.08,5
7.08,0.505,0.045,2.31,0.17,18.8,46.6,0.99685,3.26,0.7,11.05,5
6.03,0.354,0.518,1.74,0.087,13.1,16.9,0.99412,3.12,0.65,10.33,7
9.77,0.618,0.202,2.86,0.126,12.1,31.9,0.99719,3.43,0.61,10.18,6
8.93,0.675,0.127,3.36,0.045,21.1,51.4,0.99706,3.17,0.69,11.98,7
12.47,0.796,0.238,2.87,0.077,17.6,77.0,0.99707,3.51,0.76,10.53,5
9.05,0.597,0.428,1.32,0.067,1.9,82.0,0.99698,3.47,0.97,10.55,6
8.99,0.696,0.373,2.21,0.091,19.3,76.0,0.99546,3.35,0.56,10.86,6
8.03,0.477,0.221,1.4,0.161,16.9,157.1,0.99782,3.34,0.66,11.14,5
9.74,0.444,0.429,2.21,0.087,28.5,47.0,0.99539,3.46,0.62,11.15,6
9.41,0.615,0.297,1.41,0.051,17.4,16.5,0.99466,3.35,0.82,12.08,5
10.5,0.46,0.161,3.76,0.044,11.3,26.4,0.99798,3.25,1.16,9.04,6
7.41,0.578,0.135,3.01,0.164,8.9,80.7,0.99848,3.08,0.83,10.77,5
7.56,0.339,0.348,3.56,0.098,3.6,24.0,0.99785,3.45,0.78,10.31,7
7.49,0.371,0.254,3.4,0.096,14.3,6.0,0.99631,3.36,0.8,10.1,7
9.7,0.644,0.009,1.87,0.067,7.9,32.7,0.99302,3.72,0.88,11.23,6
10.93,0.69,0.431,1.75,0.088,31.2,66.2,0.99952,3.3,1.17,11.81,8
7.52,0.353,0.179,4.64,0.05,14.7,26.1,0.99299,3.36,0.42,9.79,5
7.58,0.651,0.573,1.97,0.093,6.3,83.1,0.99781,3.36,0.74,12.23,7
8.87,0.434,0.003,1.15,0.046,2.8,114.9,1.00071,3.41,0.33,8.89,5
7.89,0.533,0.236,3.33,0.066,3.8,46.3,0.99698,3.16,0.81,11.05,5
9.98,0.785,0.137,2.26,0.058,18.3,127.3,0.99725,3.3,0.73,9.47,4
6.88,0.675,0.085,4.17,0.018,33.4,97.7,0.99742,3.43,0.56,9.73,6
6.96,0.673,0.178,2.36,0.067,20.8,67.5,0.99708,3.26,0.33,10.48,5
6.64,0.874,0.606,2.1,0.052,13.3,50.3,1.00117,3.43,0.64,9.99,5
6.73,0.403,0.297,4.21,0.071,44.9,47.5,0.9951,3.32,0.67,11.07,6
7.97,0.353,0.12,1.06,0.078,23.7,37.6,0.99486,3.37,0.63,11.25,6
10.26,0.4,0.168,1.63,0.173,17.5,56.9,0.99608,3.48,0.55,10.25,6
7.89,0.484,0.15,1.42,0.09,11.1,7.4,1.00001,3.28,0.51,10.16,7
6.53,0.493,0.227,0.9,0.091,34.5,100.4,0.9956,3.09,0.63,10.02,5
8.22,0.432,0.253,3.14,0.098,11.9,128.6,0.99752,3.27,0.52,8.59,5
10.15,0.671,0.465,1.65,0.116,7.8,6.9,0.99873,3.19,0.78,8.48,6
6.62,0.593,0.578,3.18,0.096,13.7,64.9,0.99818,2.99,0.63,11.28,6
6.74,0.422,0.118,2.52,0.089,15.6,95.5,0.99863,3.29,0.41,11.56,5
9.29,0.636,0.108,2.78,0.108,25.0,43.4,0.99939,3.34,0.67,11.06,5
7.93,0.66,0.298,1.72,0.026,7.7,36.3,0.99729,3.46,0.71,10.83,6
9.45,0.392,0.038,1.5,0.2,8.8,31.0,0.99583,3.14,0.96,11.26,7
8.3,0.441,0.59,2.2,0.16,9.2,27.0,0.99698,3.32,0.8,11.19,5
9.54,0.129,0.278,3.2,0.086,13.2,48.9,0.99606,3.48,0.51,9.58,5
6.52,0.334,0.247,2.07,0.041,6.4,82.7,1.00149,3.22,0.91,10.66,6
8.3,0.396,0.573,1.54,0.135,31.0,8.2,0.99569,3.39,0.45,10.1,6
7.95,0.543,0.267,1.23,0.057,3.8,19.5,0.99762,3.55,0.64,10.12,5
6.2,0.36,0.346,2.32,0.099,35.1,25.6,0.99385,3.03,0.77,11.64,6
5.6,0.438,0.127,1.65,0.044,23.4,12.0,0.99695,3.35,0.92,12.1,6
9.51,0.309,0.01,2.05,0.213,7.3,60.5,0.99615,3.48,1.02,10.15,6
7.71,0.561,0.154,1.9,0.041,12.4,55.5,0.99798,3.26,0.88,10.09,6
6.54,0.607,0.686,1.73,0.081,8.3,70.0,0.99803,3.52,0.62,11.66,6
8.15,0.602,0.39,2.42,0.03,23.7,6.0,0.99939,3.41,0.74,8.87,6
10.28,0.532,0.322,2.72,0.077,32.9,64.8,0.99924,3.58,0.67,11.3,7
5.72,0.253,0.084,5.13,0.064,69.7,82.4,0.99657,3.4,0.53,11.45,5
6.71,0.418,0.443,2.98,0.13,19.9,61.3,0.99491,3.59,0.62,8.51,5
10.86,0.457,0.012,4.34,0.064,3.9,41.1,0.99513,3.36,1.0,10.29,6
8.81,0.457,0.164,1.46,0.13,6.9,37.3,0.99728,3.1,0.75,12.06,5
9.66,0.543,0.641,1.03,0.049,19.3,52.1,0.997,3.22,1.07,9.27,6
6.34,0.787,0.631,2.1,0.069,12.8,48.2,0.99719,3.46,0.49,10.53,6
6.37,0.676,0.184,3.11,0.069,23.2,26.2,0.99568,3.46,0.58,10.96,6
9.1,0.352,0.142,2.9,0.098,17.7,6.2,0.99943,3.26,0.71,8.89,5
8.42,0.652,0.285,3.65,0.092,7.4,29.0,0.9939,3.58,0.77,9.82,6
9.27,0.645,0.301,0.9,0.108,11.4,119.6,0.99558,3.26,0.62,8.61,6
7.99,0.385,0.42,3.72,0.088,23.9,7.2,0.99465,3.38,0.78,10.24,7
8.8,0.683,0.443,2.46,0.105,18.4,47.7,0.9963,3.38,0.78,9.57,3
8.6,0.501,0.232,1.06,0.052,23.4,102.6,0.99907,3.11,0.45,10.64,7
9.67,0.276,0.376,2.93,0.093,5.1,71.1,0.99615,3.29,0.77,11.1,7
9.72,0.612,0.137,2.28,0.161,7.8,78.1,0.99689,3.67,0.83,11.91,5
5.5,0.569,0.372,2.51,0.037,29.6,72.7,0.99796,3.17,0.69,12.92,6
10.06,0.489,0.174,3.32,0.097,5.3,12.2,0.99606,3.4,0.4,10.64,6
10.39,0.523,0.357,2.57,0.106,22.5,91.5,0.99743,3.14,0.59,10.08,5
6.54,0.401,0.342,1.09,0.151,4.8,99.5,0.99718,3.17,0.71,10.02,5
5.08,0.64,0.283,1.99,0.108,15.4,15.5,0.99455,3.1,0.51,9.39,5
8.49,0.522,0.421,1.02,0.082,10.3,30.8,0.99582,3.45,0.8,10.9,6
9.94,0.56,0.068,2.84,0.095,7.3,43.8,0.99737,3.18,0.77,9.89,5
11.45,0.594,0.219,3.97,0.056,16.2,31.1,0.99914,3.5,0.66,10.97,6
9.22,0.322,0.193,1.21,0.066,28.7,24.5,0.99913,3.23,0.64,9.42,6
7.67,0.369,0.199,1.56,0.043,8.7,24.9,1.00068,3.33,0.67,9.92,5
6.77,0.132,0.519,1.42,0.152,2.3,64.7,0.99762,3.37,0.64,10.88,6
8.34,0.632,0.297,1.73,0.096,13.1,76.6,0.99591,3.07,0.46,10.29,5
7.8,0.312,0.466,2.55,0.052,7.3,25.0,0.99658,3.34,0.57,10.4,5
6.55,0.554,0.327,1.73,0.088,24.2,76.3,0.99648,3.36,0.65,9.56,5
11.88,0.597,0.168,2.84,0.132,10.3,31.0,0.99593,3.48,0.91,11.68,5
11.43,0.638,0.295,3.42,0.122,8.9,16.4,0.99743,3.17,0.76,11.46,6
10.3,0.313,0.409,3.48,0.051,11.1,51.3,0.99752,3.19,0.92,11.28,7
6.72,0.518,0.497,1.28,0.019,28.7,42.5,0.99447,3.41,0.45,10.84,5
9.81,0.831,0.245,3.95,0.093,19.0,52.5,0.99877,3.52,0.58,8.83,4
9.43,0.839,0.208,4.09,0.052,6.5,52.0,0.99321,3.22,1.07,11.36,6
9.09,0.708,0.611,4.26,0.103,5.1,48.5,0.99628,3.12,0.53,9.05,5
10.49,0.591,0.383,1.97,0.12,34.8,39.3,0.99888,3.26,0.53,11.65,7
9.43,0.349,0.149,1.51,0.129,8.7,75.2,0.99785,3.16,0.6,9.73,5
9.61,0.659,0.059,1.36,0.171,29.2,61.6,0.99602,3.37,1.06,8.8,5
9.43,0.502,0.465,1.29,0.136,12.7,31.8,1.00044,3.15,0.54,12.69,6
8.91,0.631,0.058,2.13,0.172,7.9,31.2,0.99586,3.46,0.73,8.77,5
5.22,0.416,0.077,3.1,0.145,8.4,11.3,0.9929,3.34,0.7,9.56,5
8.47,0.499,0.124,3.81,0.151,13.1,12.8,0.99756,3.46,0.39,9.77,6
7.35,0.56,0.292,1.7,0.077,2.1,37.4,0.99332,2.95,0.64,9.93,6
6.09,0.574,0.388,2.08,0.044,8.1,69.4,0.99512,3.05,0.56,11.17,6
11.25,0.619,0.497,2.02,0.239,42.6,22.0,0.99788,3.5,0.76,10.48,6
11.33,0.426,0.469,1.59,0.08,50.4,63.4,0.99582,3.2,0.98,11.49,6
10.69,0.288,0.27,2.95,0.136,8.8,47.4,0.9978,3.09,0.59,10.82,6
8.76,0.822,0.464,2.49,0.061,21.7,23.1,0.9945,3.28,0.58,8.63,5
10.67,0.978,0.143,2.26,0.12,18.6,43.6,0.99833,3.35,1.2,11.01,5
8.34,0.611,0.142,2.49,0.026,5.7,42.4,0.99349,3.29,0.53,10.67,6
8.67,0.292,0.117,2.79,0.065,22.0,23.9,0.99921,3.38,0.46,9.75,5
6.42,0.391,0.15,2.78,0.075,10.9,60.8,0.9958,3.36,0.9,12.64,6
9.01,0.622,0.088,1.45,0.096,15.0,73.6,0.99961,3.35,0.63,11.07,6
8.43,0.771,0.182,3.17,0.126,24.8,33.8,0.9951,3.51,0.68,11.43,6
6.05,0.312,0.388,2.37,0.048,11.4,17.7,1.00036,3.31,1.11,11.46,8
8.23,0.508,0.596,1.74,0.105,11.3,75.8,0.99488,3.3,0.45,9.97,6
8.18,0.565,0.025,2.35,0.136,20.5,12.2,0.99329,3.43,0.61,11.1,5
11.45,0.686,0.12,2.47,0.224,29.8,50.1,0.99678,3.39,0.47,10.76,5
9.88,0.468,0.415,3.44,0.107,19.7,22.0,0.99904,3.17,0.69,9.82,6
8.34,0.249,0.231,1.32,0.063,11.7,16.5,0.9982,3.3,0.56,9.11,6
8.75,0.642,0.132,3.84,0.044,27.8,28.5,0.99891,3.38,0.48,10.45,6
8.4,0.732,0.406,2.14,0.178,18.1,42.4,0.99824,3.22,0.77,11.05,5
7.97,0.515,0.452,1.69,0.109,33.8,19.3,0.99514,3.23,0.64,10.44,5
6.44,0.603,0.266,1.66,0.077,39.4,14.4,0.99816,3.1,0.47,10.22,5
8.06,0.445,0.115,1.35,0.038,19.5,9.2,0.99688,2.88,0.47,10.45,5
7.02,0.378,0.321,0.97,0.051,32.3,102.6,0.99535,3.25,0.67,10.11,6
6.14,0.715,0.226,2.87,0.104,32.9,52.7,0.99704,3.33,0.42,12.08,5
9.21,0.6,0.224,5.16,0.092,13.6,23.2,0.99659,3.15,0.67,10.71,6
9.0,0.618,0.173,1.02,0.033,32.9,54.4,0.99939,3.52,0.89,9.9,5
5.21,0.8,0.446,1.38,0.104,15.4,42.1,0.99572,3.15,0.75,8.49,6
8.11,0.34,0.317,2.97,0.039,23.3,64.8,0.99563,3.45,0.55,10.21,6
10.05,0.431,0.467,2.07,0.144,14.4,35.6,0.99537,3.37,0.68,9.8,6
10.16,0.558,0.524,3.08,0.086,4.4,72.1,1.0003,3.64,0.47,9.76,6
10.1,0.428,0.357,2.02,0.063,46.4,25.7,0.99548,3.39,0.66,11.43,5
8.39,0.671,0.174,1.63,0.122,22.8,47.1,0.99916,3.09,0.59,10.51,7
6.85,0.496,0.468,1.91,0.092,24.1,69.3,0.99474,3.47,0.49,8.62,5
6.43,0.351,0.358,0.9,0.142,16.5,48.6,0.99766,3.56,0.75,11.08,7
8.92,0.542,0.765,1.27,0.081,32.7,122.0,0.9972,3.04,0.39,8.73,5
8.98,0.561,0.329,3.24,0.083,13.4,64.0,0.99904,3.41,0.47,11.16,6
10.56,0.698,0.403,3.62,0.069,14.0,53.8,0.99877,3.44,0.49,9.91,6
10.23,0.601,0.325,3.99,0.088,6.5,32.2,0.99686,3.28,0.56,10.51,6
8.09,0.613,0.251,2.58,0.168,17.6,47.8,0.99568,2.95,0.88,10.39,6
6.16,0.588,0.221,0.9,0.062,31.7,85.0,0.99979,3.27,0.77,10.26,5
7.76,0.496,0.326,1.59,0.105,13.5,29.4,0.99549,3.22,0.65,10.64,6
8.7,0.401,0.369,3.84,0.053,5.8,21.4,0.99239,3.54,0.65,10.51,6
7.97,0.582,0.489,4.39,0.031,27.6,29.5,0.99317,3.3,0.64,12.42,7
7.31,0.47,0.329,3.91,0.086,20.6,28.4,0.99363,3.25,0.9,10.66,7
8.76,0.834,0.182,1.9,0.092,43.1,58.5,0.99783,3.22,0.4,10.68,5
7.44,0.772,0.208,1.18,0.074,8.4,113.4,1.00091,3.36,0.77,9.66,5
7.23,0.644,0.019,2.08,0.04,22.8,12.7,0.99282,3.32,0.56,10.83,5
8.86,0.598,0.586,2.13,0.09,5.6,6.0,0.99521,3.19,0.72,9.32,6
7.62,0.514,0.167,4.28,0.088,14.7,42.9,0.99687,3.35,0.72,11.65,5
8.74,0.303,0.454,2.35,0.052,16.7,19.4,0.99964,3.23,0.77,8.83,5
8.8,0.491,0.323,2.13,0.042,4.0,51.4,0.9952,2.92,0.95,9.52,6
6.34,0.548,0.328,2.19,0.07,30.3,55.4,0.99782,3.41,0.45,8.68,5
7.48,0.571,0.248,2.53,0.105,25.2,28.5,0.99622,3.4,0.82,10.87,6
10.82,0.615,0.12,2.81,0.094,20.6,59.6,1.00165,3.34,0.63,9.97,5
6.3,0.696,0.086,1.53,0.053,5.9,25.2,0.99697,3.24,0.57,11.15,6
4.64,0.405,0.598,1.32,0.083,9.0,25.2,0.99738,3.3,1.06,9.38,7
5.08,0.407,0.292,3.92,0.116,27.1,22.4,0.99686,3.43,0.76,10.99,6
8.37,0.791,0.484,1.01,0.046,14.6,29.7,0.99591,3.22,0.57,11.04,5
8.37,0.669,0.533,4.42,0.08,12.7,40.2,0.9985,3.44,0.81,10.65,6
8.12,0.46,0.192,0.9,0.143,32.3,37.2,0.9945,3.09,0.63,10.45,7
10.43,0.511,0.35,1.63,0.044,16.3,45.5,0.9929,3.34,0.57,10.57,5
9.01,0.512,0.279,3.28,0.131,6.4,57.7,0.99641,3.31,0.55,9.45,5
11.04,0.536,0.05,2.12,0.162,26.9,45.9,0.99825,3.46,0.69,9.27,5
6.36,0.615,0.235,1.17,0.071,5.7,101.4,0.9956,3.17,0.55,11.0,7
7.66,0.986,0.382,2.56,0.067,14.7,42.1,0.99705,3.19,0.66,10.03,5
7.01,0.564,0.175,2.18,0.124,17.8,66.1,0.99438,3.1,0.8,10.91,6
6.76,0.649,0.208,1.92,0.072,23.4,11.2,0.99872,3.22,0.66,12.08,6
7.75,0.226,0.237,1.6,0.027,4.7,45.5,0.99794,3.35,1.05,9.93,5
10.8,0.443,0.671,2.08,0.075,1.8,37.0,0.99674,3.04,0.64,9.78,5
11.52,0.751,0.365,1.63,0.096,1.9,34.7,0.99702,3.24,0.89,10.07,6
7.74,0.602,0.222,6.33,0.109,34.8,84.0,0.99405,3.4,0.81,10.46,6
11.63,0.651,0.148,1.9,0.053,4.0,124.9,0.99414,3.29,0.93,11.08,5
8.38,0.875,0.217,1.79,0.069,40.4,58.1,0.99647,3.32,1.04,10.39,6
11.37,0.171,0.397,1.66,0.121,28.7,9.1,0.99768,3.08,0.41,12.64,5
8.16,0.803,0.408,4.71,0.076,7.3,27.4,0.99777,3.29,0.68,10.87,5
8.55,0.699,0.305,1.01,0.039,2.5,13.0,0.99601,3.31,0.62,11.26,5
8.96,0.528,0.478,2.49,0.136,15.5,44.7,0.99812,3.29,0.66,10.38,6
13.85,0.61,0.511,1.9,0.071,10.1,53.4,0.9994,3.33,0.58,11.5,6
9.8,0.737,0.425,1.12,0.128,32.6,10.4,0.99653,3.26,0.56,10.2,5
7.09,0.595,0.166,1.46,0.042,17.7,93.1,0.99729,3.24,0.48,9.73,5
10.01,0.635,0.364,2.44,0.074,14.8,16.3,0.99631,3.15,0.65,11.39,7
7.69,0.456,0.365,1.43,0.098,12.7,51.8,0.99646,3.46,0.81,10.36,6
7.47,0.195,0.115,2.38,0.075,23.3,91.9,0.99702,3.13,0.56,10.68,6
9.9,0.655,0.283,4.61,0.046,13.9,45.3,0.99994,3.33,0.59,11.47,6
8.37,0.845,0.327,2.29,0.027,45.4,24.0,0.99844,3.58,0.54,10.57,6
8.8,0.733,0.045,1.1,0.155,3.9,23.0,0.99827,3.48,0.5,10.26,6
8.34,0.172,0.469,1.45,0.087,11.8,46.1,0.99584,3.39,0.6,9.85,6
8.91,0.257,0.299,1.86,0.132,21.2,66.2,0.99499,3.35,0.69,11.56,6
9.06,0.378,0.526,1.81,0.119,19.4,50.6,0.99744,3.29,0.87,10.05,6
4.95,0.243,0.34,2.27,0.102,45.3,22.6,0.99906,3.17,0.47,10.37,6
9.48,0.538,0.067,2.44,0.068,8.5,36.3,0.99997,3.27,0.63,10.73,5
6.61,0.601,0.357,4.61,0.097,1.0,20.3,0.99204,3.4,0.86,10.72,7
5.81,0.273,0.397,2.11,0.149,27.3,20.2,1.00135,3.37,0.47,11.5,7
8.22,0.67,0.166,1.26,0.081,17.1,19.3,0.99749,3.43,0.88,10.35,6
8.47,0.638,0.289,3.56,0.184,27.5,31.0,0.99843,3.49,0.57,11.89,5
7.11,0.431,0.08,3.74,0.04,18.8,39.0,0.99339,3.29,0.76,10.15,5
9.77,0.499,0.483,2.35,0.038,1.5,42.1,0.99625,3.34,0.6,10.82,6
5.98,0.179,0.193,1.89,0.122,19.6,48.9,0.99826,3.03,0.72,10.22,6
7.61,0.47,0.598,2.8,0.054,8.5,23.6,0.99447,3.65,0.95,12.66,6
7.3,0.531,0.296,1.93,0.196,11.8,39.5,0.99121,3.25,0.62,10.04,5
8.24,0.56,0.542,0.9,0.143,13.6,42.9,0.99734,3.41,0.82,10.14,7
8.81,0.598,0.101,2.73,0.16,5.7,79.5,0.99661,3.25,0.68,10.54,6
6.57,0.574,0.24,3.16,0.116,8.3,10.7,0.99944,3.24,0.52,10.13,5
9.58,0.482,0.193,4.05,0.052,24.4,13.5,0.9964,3.27,0.61,10.76,5
8.43,0.582,0.14,1.52,0.037,24.3,56.2,0.99654,3.12,0.61,11.74,7
5.03,0.71,0.316,2.34,0.153,3.5,60.0,0.99803,2.94,0.45,10.58,5
4.91,0.513,0.024,2.37,0.04,17.3,56.3,0.99866,3.48,0.72,10.62,5
8.3,0.587,0.249,2.2,0.159,26.1,56.0,0.99535,3.39,0.75,10.17,6
7.94,0.496,0.368,2.23,0.106,16.1,11.7,0.99849,3.17,0.78,9.88,6
8.14,0.414,0.229,2.15,0.075,17.9,113.5,0.99571,3.38,0.91,10.52,7
8.27,0.624,0.08,2.33,0.095,3.7,74.0,0.99673,3.43,0.81,10.43,6
8.71,0.43,0.466,2.95,0.096,31.8,11.8,0.99797,3.21,0.55,11.68,7
9.97,0.6,0.409,3.67,0.071,6.1,33.1,0.99831,3.37,0.58,9.39,5
6.39,0.535,0.072,1.51,0.148,11.3,31.9,0.9973,3.46,0.79,11.98,6
6.28,0.475,0.024,1.96,0.146,26.2,37.1,0.99465,3.09,0.7,10.26,5
6.42,0.471,0.089,1.75,0.084,38.9,29.1,0.99315,3.39,0.63,10.58,6
8.82,0.439,0.374,1.64,0.06,12.0,17.3,0.99634,3.36,0.51,9.28,5
10.49,0.234,0.322,1.02,0.141,52.3,43.4,0.99855,3.59,0.56,11.02,6
7.57,0.599,0.42,2.14,0.031,16.5,82.6,0.99755,3.39,0.74,9.39,5
5.36,0.572,0.208,2.63,0.095,15.2,28.5,0.99716,3.25,0.39,10.82,5
6.87,0.683,0.094,1.97,0.109,6.9,48.6,0.99669,3.27,0.36,10.71,5
7.35,0.434,0.445,2.11,0.054,11.5,37.8,0.99729,3.61,0.76,10.07,7
7.61,0.871,0.165,2.56,0.121,17.5,56.0,0.99481,3.26,0.56,12.73,6
8.39,0.462,0.305,3.99,0.077,21.4,35.6,0.99818,3.4,0.72,9.29,5
7.78,0.372,0.162,1.75,0.061,20.7,25.6,0.99831,3.27,0.95,10.71,6
10.15,0.351,0.462,1.25,0.12,10.6,29.6,0.99602,3.47,0.49,9.64,6
7.14,0.218,0.134,2.03,0.048,34.6,80.7,0.99753,3.48,0.42,11.54,7
6.82,0.806,0.425,4.94,0.115,15.6,41.1,0.99344,3.31,0.6,10.01,6
9.15,0.777,0.164,1.26,0.032,14.9,40.2,0.99704,3.25,0.54,9.62,3
5.65,0.638,0.237,2.84,0.089,6.5,79.1,0.99645,3.25,0.63,11.06,6
9.0,0.369,0.601,3.56,0.08,22.8,88.1,0.99909,3.05,0.73,9.06,6
8.5,0.856,0.048,0.9,0.061,14.3,6.0,0.99632,3.33,0.69,9.98,6
